@relation 'kuma-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R4,22,44,45,53'

@attribute forward_links {false,true}
@attribute at_mentions_description numeric
@attribute req_follows_integrator {false,true}
@attribute integrator_follows_req {false,true}
@attribute status {0,1}

@data
false,0,true,true,1
false,0,false,true,1
false,0,false,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,false,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,false,false,1
true,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,false,false,0
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,true,true,1
true,0,true,true,1
false,0,false,false,1
false,0,true,false,1
false,0,false,false,1
false,0,true,true,1
true,0,true,true,0
false,0,true,true,1
false,0,true,false,1
false,0,false,false,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,2,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,false,false,1
true,0,true,true,0
false,0,true,true,1
false,0,true,true,1
false,0,false,false,0
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
true,0,false,false,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,false,false,1
false,1,false,false,0
false,0,false,false,1
false,0,true,true,1
false,0,false,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,false,false,1
false,0,false,false,1
false,0,false,false,1
false,0,false,false,1
false,0,true,false,1
false,0,false,false,1
true,0,false,true,1
false,0,true,false,1
false,0,false,true,1
false,0,true,true,1
false,0,true,true,1
true,0,false,false,0
false,0,true,false,1
false,0,true,false,1
false,0,true,true,1
true,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,0
false,0,false,true,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,0
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,false,false,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,false,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,false,true,1
false,0,false,true,1
false,0,true,false,1
false,0,false,false,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,1,false,true,1
false,0,true,true,1
false,0,false,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,1,true,true,1
false,0,true,true,1
false,0,false,true,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,0
false,0,true,true,1
true,0,true,true,0
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,false,false,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,true,false,1
false,0,true,true,1
false,0,false,false,0
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,true,false,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,0
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,false,true,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
true,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,true,1
false,0,false,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
true,0,true,true,0
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,true,1
false,0,false,false,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,false,false,1
false,0,false,true,1
false,0,true,true,1
true,0,false,false,0
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
true,0,false,false,1
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,1,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,false,1
false,0,true,true,1
true,0,false,false,0
false,0,true,true,1
false,1,false,false,0
false,0,false,false,0
false,0,true,true,1
false,0,true,true,1
false,0,false,false,0
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,false,false,0
false,0,false,false,0
false,0,false,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
true,0,false,false,0
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,false,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,0
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,true,1
false,0,false,false,0
false,0,false,false,0
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,false,true,1
false,0,true,true,1
false,0,true,false,1
false,0,false,false,0
false,0,true,false,1
false,2,false,false,0
false,0,false,false,1
false,0,true,true,1
false,0,false,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,true,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,false,false,0
false,0,false,false,1
false,0,false,false,1
false,0,true,true,1
false,0,true,false,1
false,0,false,false,0
false,1,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
true,0,true,true,0
false,0,false,false,0
false,0,false,true,1
false,0,true,false,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,true,false,1
false,0,false,false,0
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,true,true,1
false,0,false,false,0
false,0,false,false,0
false,0,false,false,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,0
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,true,false,1
false,0,false,false,1
false,0,false,false,1
false,0,false,false,1
false,0,false,false,1
false,0,false,false,1
false,0,false,false,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,false,false,1
false,0,false,false,1
false,0,false,false,1
false,0,false,false,1
false,0,false,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,0
false,0,true,false,1
false,0,false,false,1
false,0,false,false,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,false,1
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,true,false,1
false,0,false,true,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,false,false,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,false,true,1
false,0,false,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,true,false,1
false,0,true,true,1
false,0,false,false,0
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,false,false,0
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,1,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
true,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,false,true,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,false,true,1
false,0,false,false,1
false,0,false,false,0
false,0,true,true,1
false,0,false,true,1
false,0,false,false,0
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,false,false,1
false,0,true,false,1
false,0,true,false,0
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,0
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,true,false,1
false,0,false,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,false,false,0
false,2,true,true,1
false,0,true,false,0
false,0,true,false,1
false,0,true,false,1
false,0,false,false,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,true,false,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,0
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,0
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,true,1
false,0,false,false,1
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,true,1
false,0,false,false,1
false,0,true,false,1
false,0,false,false,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
true,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
true,0,true,true,1
false,0,false,false,1
true,0,false,true,0
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,0
false,0,true,true,1
false,0,false,true,1
false,0,false,false,0
false,0,true,true,1
false,0,false,false,0
false,0,true,true,1
false,0,false,false,0
false,0,true,true,1
false,0,false,false,0
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,true,false,1
false,0,true,true,1
false,0,false,false,1
false,0,true,false,1
false,0,false,false,0
false,0,true,false,1
false,0,false,false,1
false,0,true,false,1
false,0,true,false,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,false,true,1
false,0,false,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,0
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,false,false,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,0
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,false,false,0
false,0,false,false,1
false,0,false,false,1
false,0,true,true,1
false,0,true,false,1
false,0,false,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,false,false,0
false,0,false,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
true,0,false,false,0
false,0,true,false,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,false,false,1
false,0,true,false,1
false,0,true,false,1
false,0,false,false,1
false,0,true,false,1
false,0,true,true,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,false,false,0
false,0,true,true,1
false,0,false,false,0
false,0,true,false,1
false,0,true,true,1
false,0,false,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,false,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,false,false,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,0
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,true,true,1
false,0,false,false,1
true,0,true,true,1
false,0,false,false,1
true,0,true,true,1
false,0,false,true,1
false,0,false,false,1
true,0,true,true,1
false,0,false,false,1
false,1,false,false,1
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,false,false,0
false,0,true,true,1
false,0,true,false,1
false,0,false,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,0
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
false,0,true,false,1
true,0,true,false,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,false,false,0
false,0,true,true,1
false,0,true,false,1
false,0,true,false,1
false,0,true,true,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,0
false,0,false,false,0
false,0,true,true,1
false,0,false,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,false,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,false,1
false,0,false,false,0
false,0,false,false,1
false,0,true,true,1
false,0,false,false,0
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,false,true,1
false,0,false,false,1
false,0,false,false,1
false,0,false,false,0
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,false,true,1
false,0,false,false,1
false,0,true,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,false,true,1
false,0,false,false,1
false,0,true,true,1
false,0,false,false,0
false,0,true,true,1
true,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,false,false,0
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,true,true,1
false,0,false,false,0
false,0,false,true,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,0
false,0,false,false,0
false,0,true,true,1
false,0,false,false,1
false,0,true,true,1
false,0,true,true,1
false,0,false,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,false,false,1
false,0,false,false,0
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,1
false,0,false,false,1
false,0,true,true,1
false,0,false,false,1
false,0,false,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,true,true,1
false,0,false,false,0
false,0,true,true,1
false,0,true,true,1
false,0,false,false,0
false,0,false,true,1
false,0,false,true,1
false,0,false,false,1
false,0,false,true,1
false,0,false,true,1
false,0,false,false,1
